"DisplayName","Status","ServiceName"
"ActiveX Installer (AxInstSV)","Stopped","AxInstSV"
"AllJoyn Router Service","Stopped","AJRouter"
"App Readiness","Stopped","AppReadiness"
"Application Identity","Stopped","AppIDSvc"
"Application Layer Gateway Service","Stopped","ALG"
"Application Management","Stopped","AppMgmt"
"AppX Deployment Service (AppXSVC)","Stopped","AppXSvc"
"AssignedAccessManager Service","Stopped","AssignedAccessManagerSvc"
"Auto Time Zone Updater","Stopped","tzautoupdate"
"Background Intelligent Transfer Service","Stopped","BITS"
"BitLocker Drive Encryption Service","Stopped","BDESVC"
"Block Level Backup Engine Service","Stopped","wbengine"
"Bluetooth Audio Gateway Service","Stopped","BTAGService"
"Bluetooth Support Service","Stopped","bthserv"
"Bluetooth User Support Service_8724ab","Stopped","BluetoothUserService_8724ab"
"BranchCache","Stopped","PeerDistSvc"
"Capability Access Manager Service","Stopped","camsvc"
"CaptureService_8724ab","Stopped","CaptureService_8724ab"
"Certificate Propagation","Stopped","CertPropSvc"
"Client License Service (ClipSVC)","Stopped","ClipSVC"
"ConsentUX_8724ab","Stopped","ConsentUxUserSvc_8724ab"
"Contact Data_8724ab","Stopped","PimIndexMaintenanceSvc_8724ab"
"Data Sharing Service","Stopped","DsSvc"
"Data Usage","Stopped","DusmSvc"
"Delivery Optimization","Stopped","DoSvc"
"Device Association Service","Stopped","DeviceAssociationService"
"Device Install Service","Stopped","DeviceInstall"
"Device Management Enrollment Service","Stopped","DmEnrollmentSvc"
"Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","dmwappushservice"
"Device Setup Manager","Stopped","DsmSvc"
"DevicePicker_8724ab","Stopped","DevicePickerUserSvc_8724ab"
"DevicesFlow_8724ab","Stopped","DevicesFlowUserSvc_8724ab"
"DevQuery Background Discovery Broker","Stopped","DevQueryBroker"
"Diagnostic Execution Service","Stopped","diagsvc"
"Diagnostic Policy Service","Stopped","DPS"
"Diagnostic Service Host","Stopped","WdiServiceHost"
"Diagnostic System Host","Stopped","WdiSystemHost"
"Display Enhancement Service","Stopped","DisplayEnhancementService"
"Distributed Link Tracking Client","Stopped","TrkWks"
"Downloaded Maps Manager","Stopped","MapsBroker"
"Embedded Mode","Stopped","embeddedmode"
"Encrypting File System (EFS)","Stopped","EFS"
"Enterprise App Management Service","Stopped","EntAppSvc"
"Extensible Authentication Protocol","Stopped","Eaphost"
"Fax","Stopped","Fax"
"File History Service","Stopped","fhsvc"
"Function Discovery Provider Host","Stopped","fdPHost"
"Function Discovery Resource Publication","Stopped","FDResPub"
"GameDVR and Broadcast User Service_8724ab","Stopped","BcastDVRUserService_8724ab"
"Geolocation Service","Stopped","lfsvc"
"Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","GoogleChromeElevationService"
"GoogleUpdater InternalService 130.0.6679.0 (GoogleUpdaterInternalService130.0.6679.0)","Stopped","GoogleUpdaterInternalService130.0.6679.0"
"GoogleUpdater Service 130.0.6679.0 (GoogleUpdaterService130.0.6679.0)","Stopped","GoogleUpdaterService130.0.6679.0"
"GraphicsPerfSvc","Stopped","GraphicsPerfSvc"
"Human Interface Device Service","Stopped","hidserv"
"HV Host Service","Stopped","HvHost"
"Hyper-V Data Exchange Service","Stopped","vmickvpexchange"
"Hyper-V Guest Service Interface","Stopped","vmicguestinterface"
"Hyper-V Guest Shutdown Service","Stopped","vmicshutdown"
"Hyper-V Heartbeat Service","Stopped","vmicheartbeat"
"Hyper-V PowerShell Direct Service","Stopped","vmicvmsession"
"Hyper-V Remote Desktop Virtualization Service","Stopped","vmicrdv"
"Hyper-V Time Synchronization Service","Stopped","vmictimesync"
"Hyper-V Volume Shadow Copy Requestor","Stopped","vmicvss"
"IKE and AuthIP IPsec Keying Modules","Stopped","IKEEXT"
"Infrared monitor service","Stopped","irmon"
"Internet Connection Sharing (ICS)","Stopped","SharedAccess"
"IP Translation Configuration Service","Stopped","IpxlatCfgSvc"
"IPsec Policy Agent","Stopped","PolicyAgent"
"KtmRm for Distributed Transaction Coordinator","Stopped","KtmRm"
"Language Experience Service","Stopped","LxpSvc"
"Link-Layer Topology Discovery Mapper","Stopped","lltdsvc"
"Local Profile Assistant Service","Stopped","wlpasvc"
"MessagingService_8724ab","Stopped","MessagingService_8724ab"
"Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","diagnosticshub.standardcollector.service"
"Microsoft Account Sign-in Assistant","Stopped","wlidsvc"
"Microsoft App-V Client","Stopped","AppVClient"
"Microsoft iSCSI Initiator Service","Stopped","MSiSCSI"
"Microsoft Passport","Stopped","NgcSvc"
"Microsoft Passport Container","Stopped","NgcCtnrSvc"
"Microsoft Software Shadow Copy Provider","Stopped","swprv"
"Microsoft Storage Spaces SMP","Stopped","smphost"
"Microsoft Store Install Service","Stopped","InstallService"
"Microsoft Windows SMS Router Service.","Stopped","SmsRouter"
"Natural Authentication","Stopped","NaturalAuthentication"
"Net.Tcp Port Sharing Service","Stopped","NetTcpPortSharing"
"Netlogon","Stopped","Netlogon"
"Network Connected Devices Auto-Setup","Stopped","NcdAutoSetup"
"Network Connections","Stopped","Netman"
"Network Connectivity Assistant","Stopped","NcaSvc"
"Network Setup Service","Stopped","NetSetupSvc"
"Offline Files","Stopped","CscService"
"OpenSSH Authentication Agent","Stopped","ssh-agent"
"Optimize drives","Stopped","defragsvc"
"Parental Controls","Stopped","WpcMonSvc"
"Payments and NFC/SE Manager","Stopped","SEMgrSvc"
"Peer Name Resolution Protocol","Stopped","PNRPsvc"
"Peer Networking Grouping","Stopped","p2psvc"
"Peer Networking Identity Manager","Stopped","p2pimsvc"
"Performance Counter DLL Host","Stopped","PerfHost"
"Performance Logs & Alerts","Stopped","pla"
"Phone Service","Stopped","PhoneSvc"
"PNRP Machine Name Publication Service","Stopped","PNRPAutoReg"
"Portable Device Enumerator Service","Stopped","WPDBusEnum"
"Printer Extensions and Notifications","Stopped","PrintNotify"
"PrintWorkflow_8724ab","Stopped","PrintWorkflowUserSvc_8724ab"
"Problem Reports and Solutions Control Panel Support","Stopped","wercplsupport"
"Quality Windows Audio Video Experience","Stopped","QWAVE"
"Radio Management Service","Stopped","RmSvc"
"Remote Access Auto Connection Manager","Stopped","RasAuto"
"Remote Access Connection Manager","Stopped","RasMan"
"Remote Desktop Configuration","Stopped","SessionEnv"
"Remote Desktop Services","Stopped","TermService"
"Remote Desktop Services UserMode Port Redirector","Stopped","UmRdpService"
"Remote Procedure Call (RPC) Locator","Stopped","RpcLocator"
"Remote Registry","Stopped","RemoteRegistry"
"Retail Demo Service","Stopped","RetailDemo"
"Routing and Remote Access","Stopped","RemoteAccess"
"Secondary Logon","Stopped","seclogon"
"Secure Socket Tunneling Protocol Service","Stopped","SstpSvc"
"Sensor Data Service","Stopped","SensorDataService"
"Sensor Monitoring Service","Stopped","SensrSvc"
"Sensor Service","Stopped","SensorService"
"Shared PC Account Manager","Stopped","shpamsvc"
"Smart Card","Stopped","SCardSvr"
"Smart Card Device Enumeration Service","Stopped","ScDeviceEnum"
"Smart Card Removal Policy","Stopped","SCPolicySvc"
"SNMP Trap","Stopped","SNMPTRAP"
"Software Protection","Stopped","sppsvc"
"Spatial Data Service","Stopped","SharedRealitySvc"
"Spot Verifier","Stopped","svsvc"
"Still Image Acquisition Events","Stopped","WiaRpc"
"Storage Tiers Management","Stopped","TieringEngineService"
"Telephony","Stopped","TapiSrv"
"UPnP Device Host","Stopped","upnphost"
"User Data Access_8724ab","Stopped","UserDataSvc_8724ab"
"User Data Storage_8724ab","Stopped","UnistoreSvc_8724ab"
"User Experience Virtualization Service","Stopped","UevAgentService"
"Virtual Disk","Stopped","vds"
"VMware Snapshot Provider","Stopped","vmvss"
"Volume Shadow Copy","Stopped","VSS"
"Volumetric Audio Compositor Service","Stopped","VacSvc"
"WalletService","Stopped","WalletService"
"WarpJITSvc","Stopped","WarpJITSvc"
"WebClient","Stopped","WebClient"
"Wi-Fi Direct Services Connection Manager Service","Stopped","WFDSConMgrSvc"
"Windows Backup","Stopped","SDRSVC"
"Windows Biometric Service","Stopped","WbioSrvc"
"Windows Camera Frame Server","Stopped","FrameServer"
"Windows Connect Now - Config Registrar","Stopped","wcncsvc"
"Windows Defender Advanced Threat Protection Service","Stopped","Sense"
"Windows Encryption Provider Host Service","Stopped","WEPHOSTSVC"
"Windows Error Reporting Service","Stopped","WerSvc"
"Windows Event Collector","Stopped","Wecsvc"
"Windows Image Acquisition (WIA)","Stopped","stisvc"
"Windows Insider Service","Stopped","wisvc"
"Windows Installer","Stopped","msiserver"
"Windows Management Service","Stopped","WManSvc"
"Windows Media Player Network Sharing Service","Stopped","WMPNetworkSvc"
"Windows Mobile Hotspot Service","Stopped","icssvc"
"Windows Modules Installer","Stopped","TrustedInstaller"
"Windows Perception Service","Stopped","spectrum"
"Windows Perception Simulation Service","Stopped","perceptionsimulation"
"Windows PushToInstall Service","Stopped","PushToInstall"
"Windows Remote Management (WS-Management)","Stopped","WinRM"
"Windows Search","Stopped","WSearch"
"Windows Time","Stopped","W32Time"
"Windows Update","Stopped","wuauserv"
"Windows Update Medic Service","Stopped","WaaSMedicSvc"
"Wired AutoConfig","Stopped","dot3svc"
"WLAN AutoConfig","Stopped","WlanSvc"
"WMI Performance Adapter","Stopped","wmiApSrv"
"Work Folders","Stopped","workfolderssvc"
"WWAN AutoConfig","Stopped","WwanSvc"
"Xbox Accessory Management Service","Stopped","XboxGipSvc"
"Xbox Live Auth Manager","Stopped","XblAuthManager"
"Xbox Live Game Save","Stopped","XblGameSave"
"Xbox Live Networking Service","Stopped","XboxNetApiSvc"
